*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID
0;1;8206
1;1;8206
2;1;8206
3;1;8206
4;1;8206
5;1;8206
6;1;8206
7;1;8206
8;1;8206
9;1;8206
10;1;8206
11;1;8206
12;1;8206
13;1;8206
14;1;8206
15;1;8206
16;1;8206
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType;ServiceJourneyCode
0;VD262170;8206;8211;0:04:19:00;0:04:25:00;4;
0;262170;8211;8196;0:04:25:00;0:05:12:00;1;-
0;262170w;8196;8196;0:05:12:00;0:05:22:00;9;
0;262145;8196;8211;0:05:22:00;0:06:13:00;1;-
0;262145w;8211;8211;0:06:13:00;0:06:25:00;9;
0;262171;8211;8196;0:06:25:00;0:07:19:00;1;-
0;262171w;8196;8196;0:07:19:00;0:07:22:00;9;
0;262146;8196;8211;0:07:22:00;0:08:13:00;1;-
0;262146w;8211;8211;0:08:13:00;0:08:25:00;9;
0;262172;8211;8196;0:08:25:00;0:09:19:00;1;-
0;262172w;8196;8196;0:09:19:00;0:09:42:00;9;
0;262147;8196;8211;0:09:42:00;0:10:33:00;1;-
0;ZD262147;8211;8206;0:10:33:00;0:10:39:00;3;
0;VD458756;8206;8221;0:10:59:00;0:11:00:00;4;
0;458756;8221;8210;0:11:00:00;0:11:18:00;1;-
0;ZD458756;8210;8206;0:11:18:00;0:11:29:00;3;
0;VD327725;8206;8210;0:11:49:00;0:12:00:00;4;
0;327725;8210;8198;0:12:00:00;0:12:49:00;1;-
0;327725w;8198;8198;0:12:49:00;0:13:03:00;9;
0;327702;8198;8210;0:13:03:00;0:13:48:00;1;-
0;ZD327702;8210;8206;0:13:48:00;0:13:59:00;3;
0;VD791455;8206;8215;0:15:50:00;0:15:55:00;4;
0;791455;8215;8222;0:15:55:00;0:16:03:00;1;-
0;791455w;8222;8222;0:16:03:00;0:16:05:00;9;
0;589836;8222;8217;0:16:05:00;0:16:17:00;1;-
0;ZD589836;8217;8206;0:16:17:00;0:16:23:00;3;
0;VD131090;8206;8206;0:16:46:00;0:16:46:00;4;
